Kommune,Navn,Status,PersonligeStemmer,Parti,ValgDato,ValgTidspunkt
Sorø,Jakob Spliid,Magtskifte,1973,Venstre,20. november,21.03
Helsingør,Benedikte Kiær,Genvalgt,4321,Konservative,20. november,20.41
Middelfart,Anders Møllegård,Magtskifte,1542,Venstre,20. november,11.35
Ballerup,Jesper Würtzen,Genvalgt,4502,Socialdemokratiet,20. november,01.26
Solrød,Emil Blücher,Genvalgt,2938,Liberal Alliance,19. november,21.08
Albertslund,Lars Gravgaard Hansen,Magtskifte,428,Konservative,19. november,20.27
Odsherred,Hanne Pigonska,Magtskifte,316,Venstre,19. november,19.19
Gribskov,Trine Egetved,Magtskifte,3214,Konservative,19. november,19.04
Ishøj,Merete Amdisen,Genvalgt,1079,Socialdemokratiet,19. november,17.12
København,Sisse Marie Welling,Magtskifte,20924,Socialistisk Folkeparti,19. november,09.14
Egedal,Birgitte Neergaard-Kofod,Magtskifte,491,Konservative,19. november,06.30
Randers,Rosa Lykke Yde,Magtskifte,4247,Socialistisk Folkeparti,19. november,06.24
Furesø,Nicolai Bechfeldt,Magtskifte,1473,Venstre,19. november,06.22
Odense,Peter Rahbæk Juel,Genvalgt,16208,Socialdemokratiet,19. november,05.42
Frederikssund,Anne Sofie Uhrskov,Magtskifte,2046,Venstre,19. november,05.25
Aalborg,Lasse Frimand Jensen,Nyvalgt,15943,Socialdemokratiet,19. november,05.14
Greve,Pernille Beckmann,Genvalgt,2685,Venstre,19. november,04.55
Viborg,Katrine Fusager Rohde,Nyvalgt,2641,Venstre,19. november,05.04
Næstved,Kenneth Sørensen,Magtskifte,1879,Venstre,19. november,04.57
Hjørring,Søren Smalbro,Genvalgt,2481,Venstre,19. november,04.53
Ringkøbing-Skjern,Mads Fuglede,Magtskifte,3406,Danmarksdemokraterne,19. november,04.39
Vordingborg,Michael Seiding Larsen,Magtskifte,2547,Venstre,19. november,04.44
Aarhus,Anders Winnerskjold,Nyvalgt,38064,Socialdemokratiet,19. november,04.32
Frederikshavn,Jon Andersen,Magtskifte,3138,Venstre,19. november,04.19
Aabenraa,Jan Riber Jakobsen,Genvalgt,2570,Konservative,19. november,04.07
Vesthimmerlands,Per Bach Laursen,Genvalgt,2049,Venstre,19. november,04.06
Rødovre,Britt Jensen,Genvalgt,3094,Socialdemokratiet,19. november,04.04
Esbjerg,Jesper Frost Rasmussen,Genvalgt,6667,Venstre,19. november,04.01
Tårnby,Allan Andersen,Genvalgt,3299,Socialdemokratiet,19. november,03.58
Fredensborg,Thomas Lykke Pedersen,Genvalgt,1895,Socialdemokratiet,19. november,03.58
Lemvig,Chris Olesen,Nyvalgt,1037,Venstre,19. november,03.51
Hillerød,Christoffer Lorenzen,Magtskifte,2907,Konservative,19. november,03.47
